danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.828,0.79,10,-3.021,0,0.0719,0.167,1e-05,0.353,0.379,104.016,audio_features,3ayMReTwLoo6jAg7adDqyz,spotify:track:3ayMReTwLoo6jAg7adDqyz,https://api.spotify.com/v1/tracks/3ayMReTwLoo6jAg7adDqyz,https://api.spotify.com/v1/audio-analysis/3ayMReTwLoo6jAg7adDqyz,247126,4
0.745,0.831,11,-6.69,0,0.155,0.216,0.000578,0.0197,0.642,87.526,audio_features,0jenJohxJTFQTuqi5Js0Dg,spotify:track:0jenJohxJTFQTuqi5Js0Dg,https://api.spotify.com/v1/tracks/0jenJohxJTFQTuqi5Js0Dg,https://api.spotify.com/v1/audio-analysis/0jenJohxJTFQTuqi5Js0Dg,236042,4
0.649,0.525,10,-11.94,1,0.0665,0.245,1.2e-05,0.17,0.494,101.987,audio_features,5Se9PXWc57LRT0zthjI5cG,spotify:track:5Se9PXWc57LRT0zthjI5cG,https://api.spotify.com/v1/tracks/5Se9PXWc57LRT0zthjI5cG,https://api.spotify.com/v1/audio-analysis/5Se9PXWc57LRT0zthjI5cG,357187,4
0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,01aTsQoKoeXofSTvKuunzv,spotify:track:01aTsQoKoeXofSTvKuunzv,https://api.spotify.com/v1/tracks/01aTsQoKoeXofSTvKuunzv,https://api.spotify.com/v1/audio-analysis/01aTsQoKoeXofSTvKuunzv,176561,4
0.877,0.781,5,-4.459,0,0.0548,0.0315,0.000397,0.239,0.373,102.994,audio_features,0mvcsYusnTYlAkOZ077lDb,spotify:track:0mvcsYusnTYlAkOZ077lDb,https://api.spotify.com/v1/tracks/0mvcsYusnTYlAkOZ077lDb,https://api.spotify.com/v1/audio-analysis/0mvcsYusnTYlAkOZ077lDb,168641,4
0.738,0.663,2,-10.583,1,0.0345,0.538,1.33e-06,0.0826,0.873,106.02,audio_features,2bhzXAQv9hv7ZGPUZeN5cz,spotify:track:2bhzXAQv9hv7ZGPUZeN5cz,https://api.spotify.com/v1/tracks/2bhzXAQv9hv7ZGPUZeN5cz,https://api.spotify.com/v1/audio-analysis/2bhzXAQv9hv7ZGPUZeN5cz,331572,4
0.742,0.911,8,-2.812,1,0.0572,0.0137,0.00081,0.0593,0.78,101.0,audio_features,6G699QfN1BWYWXfiblH51F,spotify:track:6G699QfN1BWYWXfiblH51F,https://api.spotify.com/v1/tracks/6G699QfN1BWYWXfiblH51F,https://api.spotify.com/v1/audio-analysis/6G699QfN1BWYWXfiblH51F,195616,4
0.715,0.89,11,-5.438,0,0.051,0.00111,0.000837,0.0297,0.891,134.994,audio_features,7H3mfOvtPNA8YDF3EdKy0L,spotify:track:7H3mfOvtPNA8YDF3EdKy0L,https://api.spotify.com/v1/tracks/7H3mfOvtPNA8YDF3EdKy0L,https://api.spotify.com/v1/audio-analysis/7H3mfOvtPNA8YDF3EdKy0L,283693,4
0.703,0.883,0,-7.85,0,0.045,0.47,8.46e-06,0.31,0.839,135.05,audio_features,6RZwj2PZDqM6g7gmO6bOxw,spotify:track:6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/tracks/6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/audio-analysis/6RZwj2PZDqM6g7gmO6bOxw,300826,4
0.732,0.79,10,-3.426,0,0.171,0.364,5.45e-06,0.0916,0.535,74.966,audio_features,7MOXP0ZdRqWUTYz44BpsHY,spotify:track:7MOXP0ZdRqWUTYz44BpsHY,https://api.spotify.com/v1/tracks/7MOXP0ZdRqWUTYz44BpsHY,https://api.spotify.com/v1/audio-analysis/7MOXP0ZdRqWUTYz44BpsHY,173500,4
